country,continent,year,economy,health,social_support,freedom,corruption_perception,generosity,happiness_rank,happiness_score
Switzerland,Europe,2015,1.39651,0.94143,1.34951,0.66557,0.41978,0.29678,1,7.587
Iceland,Europe,2015,1.30232,0.94784,1.40223,0.62877,0.14145,0.4363,2,7.561
Denmark,Europe,2015,1.32548,0.87464,1.36058,0.64938,0.48357,0.34139,3,7.527
Norway,Europe,2015,1.459,0.88521,1.33095,0.66973,0.36503,0.34699,4,7.522
Canada,North America,2015,1.32629,0.90563,1.32261,0.63297,0.32957,0.45811,5,7.427
Finland,Europe,2015,1.29025,0.88911,1.31826,0.64169,0.41372,0.23351,6,7.406
Netherlands,Europe,2015,1.32944,0.89284,1.28017,0.61576,0.31814,0.4761,7,7.378
Sweden,Europe,2015,1.33171,0.91087,1.28907,0.6598,0.43844,0.36262,8,7.364
New Zealand,Oceania,2015,1.25018,0.90837,1.31967,0.63938,0.42922,0.47501,9,7.286
Australia,Oceania,2015,1.33358,0.93156,1.30923,0.65124,0.35637,0.43562,10,7.284
Israel,Asia,2015,1.22857,0.91387,1.22393,0.41319,0.07785,0.33172,11,7.278
Costa Rica,Central America,2015,0.95578,0.86027,1.23788,0.63376,0.10583,0.25497,12,7.226
Austria,Europe,2015,1.33723,0.89042,1.29704,0.62433,0.18676,0.33088,13,7.2
Mexico,North America,2015,1.02054,0.81444,0.91451,0.48181,0.21312,0.14074,14,7.187
United States,North America,2015,1.39451,0.86179,1.24711,0.54604,0.1589,0.40105,15,7.119
Brazil,South America,2015,0.98124,0.69702,1.23287,0.49049,0.17521,0.14574,16,6.983
Luxembourg,Europe,2015,1.56391,0.91894,1.21963,0.61583,0.37798,0.28034,17,6.946
Ireland,Europe,2015,1.33596,0.89533,1.36948,0.61777,0.28703,0.45901,18,6.94
Belgium,Europe,2015,1.30782,0.89667,1.28566,0.5845,0.2254,0.2225,19,6.937
United Arab Emirates,Asia,2015,1.42727,0.80925,1.12575,0.64157,0.38583,0.26428,20,6.901
United Kingdom,Europe,2015,1.26637,0.90943,1.28548,0.59625,0.32067,0.51912,21,6.867
Oman,Asia,2015,1.36011,0.76276,1.08182,0.63274,0.32524,0.21542,22,6.853
Venezuela,South America,2015,1.04424,0.72052,1.25596,0.42908,0.11069,0.05841,23,6.81
Singapore,Asia,2015,1.52186,1.02525,1.02,0.54252,0.4921,0.31105,24,6.798
Panama,Central America,2015,1.06353,0.79661,1.1985,0.5421,0.0927,0.24434,25,6.786
Germany,Europe,2015,1.32792,0.89186,1.29937,0.61477,0.21843,0.28214,26,6.75
Chile,South America,2015,1.10715,0.85857,1.12447,0.44132,0.12869,0.33363,27,6.67
Qatar,Asia,2015,1.69042,0.79733,1.0786,0.6404,0.52208,0.32573,28,6.611
France,Europe,2015,1.27778,0.94579,1.26038,0.55011,0.20646,0.12332,29,6.575
Argentina,South America,2015,1.05351,0.78723,1.24823,0.44974,0.08484,0.11451,30,6.574
Czech Republic,Europe,2015,1.17898,0.84483,1.20643,0.46364,0.02652,0.10686,31,6.505
Uruguay,South America,2015,1.06166,0.8116,1.2089,0.60362,0.24558,0.2324,32,6.485
